"","Word","Length","SUBTLWF","POS","Mean_RT"
"651","hoisted",7,0.41,"VB",878.1
"652","lantern",7,2.02,"NN",726.5
"653","Norman",6,16.86,"NN",805.88
"654","religious",9,13.86,"JJ",717.03
"655","Caucasian",9,2.75,"NN",762.6
"656","comely",6,0.37,"JJ",846.28
"657","toehold",7,0.14,"NN",1095.17
"658","astounded",9,0.24,"VB",824.87
"659","rainwater",9,0.22,"NN",718.12
"660","sacrilegious",12,0.39,"JJ",1228.06
"661","nutrition",9,0.94,"NN",723.75
"662","prosthesis",10,0.18,"NN",1041.48
"663","footboard",9,0.02,"NN",821.03
"664","starvation",10,1.47,"NN",804.56
"665","giveaway",8,0.78,"NN",682.27
"666","Janet",5,17.9,"NN",582.79
"667","Tommy",5,48.22,"NN",645.76
"668","memorized",9,2.14,"VB",686.09
"669","tofu",4,2.69,"NN",722.38
"670","myrrh",5,0.25,"NN",877.43
"671","hijacked",8,2.16,"VB",762.58
"672","totalitarian",12,0.16,"JJ",893.92
"673","exemplified",11,0.18,"VB",880.58
"674","administered",12,1.49,"VB",772.19
"675","trashcan",8,0.37,"NN",846.04
"676","unreliable",10,1.67,"JJ",759.34
"677","hooking",7,2.53,"VB",654.49
"678","communicational",15,0.02,"JJ",969.97
"679","agent",5,102.65,"NN",626.67
"680","ricocheted",10,0.16,"VB",951.78
"681","stronghold",10,1.18,"NN",760.57
"682","indubitable",11,0.02,"JJ",889.64
"683","aloof",5,0.65,"JJ",702.15
"684","inductions",10,0.02,"NN",897.97
"685","capacious",9,0.06,"JJ",836.12
"686","housemaster",11,0.08,"NN",859.81
"687","ghouls",6,0.92,"NN",876.95
"688","misshapen",9,0.29,"JJ",899.29
"689","hirelings",9,0.02,"NN",693.22
"690","deliberation",12,0.39,"NN",863.42
"691","undergoing",10,0.69,"VB",676.94
"692","population",10,9.1,"NN",675.76
"693","regularize",10,0.02,"VB",851.28
"694","quickstep",9,0.14,"NN",761.06
"695","biologist",9,1.25,"NN",759.59
"696","discretion",10,3.67,"NN",842.06
"697","sapling",7,0.18,"NN",753.6
"698","licentious",10,0.04,"JJ",831
"699","ideological",11,0.14,"JJ",804.55
"700","Solomon",7,3.04,"NN",684.23
"701","malpractice",11,1.55,"NN",808.93
"702","bandmaster",10,0.02,"NN",929
"703","Edgar",5,12.67,"NN",712.52
"704","eyeing",6,0.8,"VB",714.75
"705","cellulose",9,0.12,"NN",816
"706","designers",9,1.06,"NN",725.59
"707","mileage",7,1.98,"NN",745.73
"708","trend",5,2.08,"NN",661.46
"709","girlhood",8,0.06,"NN",782.97
"710","frustration",11,2.98,"NN",720.9
"711","demoralize",10,0.06,"VB",782.23
"712","supersede",9,0.16,"VB",845.71
"713","hoop",4,2.69,"NN",613.47
"714","neurologist",11,1,"NN",750.21
"715","totality",8,0.14,"NN",856.26
"716","woebegone",9,0.02,"JJ",863.33
"717","jackets",7,3.43,"NN",668.38
"718","amino",5,0.61,"NN",876
"719","neuromuscular",13,0.06,"JJ",1137.75
"720","foxhound",8,0.04,"NN",763.07
"721","Dalton",6,3.76,"NN",719.54
"722","clarifies",9,0.02,"VB",863.78
"723","humankind",9,0.69,"NN",731.48
"724","canny",5,0.22,"JJ",758.83
"725","backyard",8,7.24,"NN",647.58
"726","inexorable",10,0.12,"JJ",789.33
"727","unstudied",9,0.02,"JJ",803.63
"728","cob",3,0.69,"NN",707.14
"729","nameless",8,1.41,"JJ",682.32
"730","looker",6,1.04,"NN",668.36
"731","recovery",8,9.1,"NN",699.52
"732","Manchester",10,2.71,"NN",733.85
"733","furtive",7,0.31,"JJ",860.86
"734","logger",6,0.12,"NN",741.97
"735","doled",5,0.08,"VB",868.83
"736","subspace",8,0.53,"NN",806.22
"737","osmosis",7,0.29,"NN",744.13
"738","meatball",8,2.59,"NN",638.28
"739","hazelnuts",9,0.04,"NN",806.09
"740","adjournment",11,0.22,"NN",977.61
"741","coerce",6,0.41,"VB",863.25
"742","itching",7,2.25,"VB",644
"743","mentality",9,2.12,"NN",808.8
"744","vaccine",7,1.92,"NN",784.81
"745","hearers",7,0.02,"NN",793.67
"746","bashful",7,1.24,"JJ",662.76
"747","knavery",7,0.02,"NN",1007.14
"748","couches",7,0.43,"NN",712.26
"749","ballroom",8,4.31,"NN",655.78
"750","Reuben",6,1.18,"NN",798.04
"751","cooler",6,7.06,"JJ",574.22
"752","defence",7,8.02,"NN",832.78
"753","nonpartisan",11,0.02,"JJ",1053.76
"754","snooty",6,0.63,"JJ",793.9
"755","governmental",12,0.55,"JJ",833.07
"756","ledger",6,1.22,"NN",704.87
"757","solidifies",10,0.02,"VB",919.38
"758","tarragon",8,0.27,"NN",949
"759","taxation",8,0.29,"NN",761.66
"760","explanatory",11,0.04,"JJ",786.94
"761","mills",5,4.45,"NN",682.24
"762","scene",5,74.65,"NN",570
"763","suffragette",11,0.16,"NN",1048.14
"764","inning",6,2.51,"NN",783.31
"765","ignorant",8,6.25,"JJ",683.31
"766","rhomboid",8,0.08,"NN",990.5
"767","rheumatism",10,0.69,"NN",938.59
"768","rotations",9,0.18,"NN",786
"769","lanterns",8,0.61,"NN",769.29
"770","tentative",9,0.49,"JJ",738.68
"771","likeness",8,1.92,"NN",665.79
"772","unconquerable",13,0.06,"JJ",929.85
"773","unblemished",11,0.22,"JJ",868.43
"774","clocked",7,1.25,"VB",701.42
"775","purpose",7,35.08,"NN",678.94
"776","foretell",8,0.31,"VB",842.28
"777","fatherland",10,0.76,"NN",785.52
"778","jackal",6,1.59,"NN",747.14
"779","negotiated",10,1.31,"VB",671.27
"780","doubled",7,3.57,"VB",725.3
"781","synchronize",11,0.67,"VB",772.12
"782","virtuosity",10,0.18,"NN",752.52
"783","skilful",7,0.2,"JJ",727.64
"784","brittle",7,1.39,"JJ",691.1
"785","hissed",6,0.25,"VB",683.43
"786","controller",10,1.29,"NN",662.06
"787","misadventure",12,0.2,"NN",911.65
"788","delineation",11,0.02,"NN",901.94
"789","mica",4,0.12,"NN",844.11
"790","writhing",8,0.41,"VB",791.71
"791","stoneware",9,0.04,"NN",750.55
"792","nonviolent",10,0.63,"JJ",899.14
"793","recoil",6,0.43,"VB",722.53
"794","deportment",10,0.24,"NN",1143.58
"795","aristocracy",11,0.63,"NN",925.03
"796","kicker",6,1.06,"NN",635.53
"797","ascertain",9,0.96,"VB",888.93
"798","disintegrate",12,0.51,"VB",1043
"799","confuse",7,4.76,"VB",703.8
"800","pupate",6,0.06,"VB",761.4
"801","skydiver",8,0.08,"NN",696.48
"802","Bismarck",8,2,"NN",899.7
"803","encores",7,0.14,"NN",795.92
"804","intruding",9,1.84,"VB",752.17
"805","paradigmatic",12,0.02,"JJ",1098.56
"806","insanity",8,7.67,"NN",792.63
"807","admissions",10,2.18,"NN",685.88
"808","greets",6,0.43,"VB",738.48
"809","impassioned",11,0.37,"JJ",835.17
"810","insatiable",10,0.98,"JJ",835.71
"811","malcontent",10,0.2,"NN",925.48
"812","farces",6,0.02,"NN",947.24
"813","crepe",5,0.82,"JJ",825.74
"814","mere",4,7.86,"JJ",727.72
"815","inevitabilities",15,0.02,"NN",1020.31
"816","cupboard",8,2.49,"NN",757.73
"817","myths",5,1.24,"NN",614.91
"818","distributor",11,1.53,"NN",896.3
"819","professionals",13,4.53,"NN",816.97
"820","boor",4,0.06,"NN",720.33
"821","yeasts",6,0.06,"NN",705.48
"822","creamery",8,0.12,"NN",828.41
"823","spirituals",10,0.08,"NN",750.21
"824","scone",5,0.49,"NN",734.5
"825","tortuous",8,0.12,"JJ",806.37
"826","potion",6,7.45,"NN",785.22
"827","fours",5,2.06,"NN",666.81
"828","underbid",8,0.02,"VB",869.93
"829","roadways",8,0.1,"NN",658.03
"830","unattached",10,0.55,"JJ",814.83
"831","discreditable",13,0.02,"JJ",1223.82
"832","abbreviation",12,0.24,"NN",728.91
"833","forefather",10,0.02,"NN",751.77
"834","unhorse",7,0.08,"VB",985.73
"835","sediment",8,0.41,"NN",742.52
"836","suspect",7,44.2,"NN",629.71
"837","antecedent",10,0.06,"NN",818
"838","peevish",7,0.16,"JJ",692.18
"839","demoniac",8,0.02,"JJ",885.88
"840","sued",4,4.86,"VB",735.31
"841","effortless",10,0.41,"JJ",724.42
"842","nonpayment",10,0.16,"NN",813.84
"843","buries",6,0.76,"VB",800.06
"844","erasure",7,0.06,"NN",729.33
"845","evergreen",9,0.2,"NN",671.94
"846","formations",10,0.65,"NN",750.71
"847","evaded",6,0.24,"VB",764.55
"848","capitulation",12,0.1,"NN",935.46
"849","lecturing",9,1.41,"VB",741.63
"850","sweeten",7,0.78,"VB",811.19
"851","ascending",9,0.69,"VB",786.49
"852","messenger",9,8.06,"NN",596.76
"853","snobs",5,0.51,"NN",679.79
"854","inoperable",10,0.65,"JJ",1006.42
"855","phobic",6,0.16,"JJ",727.1
"856","gigantic",8,3.73,"JJ",694.85
"857","survivor",8,4.33,"NN",604.88
"858","consequence",11,3.14,"NN",688.97
"859","follower",8,0.67,"NN",800.58
"860","dozed",5,0.8,"VB",711.44
"861","compile",7,0.53,"VB",715.55
"862","jotted",6,0.29,"VB",734.96
"863","kappa",5,1.04,"NN",915.72
"864","pubic",5,1.18,"JJ",788.45
"865","trophies",8,2.29,"NN",685.83
"866","smothered",9,1.31,"VB",720.97
"867","lauder",6,0.24,"NN",879.11
"868","disinclination",14,0.04,"NN",1148.12
"869","bower",5,0.25,"NN",933.78
"870","cartoonists",11,0.04,"NN",821.35
"871","computations",12,0.2,"NN",897.93
"872","sentimentality",14,0.47,"NN",910.87
"873","borrows",7,0.49,"VB",688.16
"874","subscription",12,1.33,"NN",768.16
"875","humus",5,0.06,"NN",816.75
"876","regimentation",13,0.1,"NN",1023.13
"877","drapery",7,0.06,"NN",807.72
"878","cutlery",7,0.35,"NN",812.67
"879","classmate",9,1.53,"NN",679.56
"880","tracers",7,0.24,"NN",713.21
